Infineon Technologies,XMC1403Q040X0200AAXUMA1,3000,1,8.3157,10,7.2657,100,6.8801,1000,6.6891,10000,6.6891
Infineon Technologies,XMC1402T038X0200AAXUMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC1402T038X0128AAXUMA1,3000,1,6.2518,10,5.4463,100,5.1502,1000,5.0022,10000,5.0022
Infineon Technologies,XMC1302T038X0200ABXUMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC1302T016X0032ABXUMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC1302Q040X0200ABXUMA1,3000,1,5.1605,10,4.0262,100,3.8919,1000,3.8919,10000,3.8919
Infineon Technologies,XMC1301T038F0032ABXUMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC1202T016X0032ABXUMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC1100T038X0064ABXUMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC1100T016X0064ABXUMA1,3000,1,,10,,100,,1000,,10000,
SunLED,XLUGR37M,3000,1,,10,,100,,1000,,10000,
SunLED,XLUG34D,3000,1,,10,,100,,1000,,10000,
Texas Instruments,XIO2001ZGU,3000,1,4.1981,10,3.0909,100,2.6833,1000,2.5499,10000,2.5499
JST Sales America Inc.,XHP-7,3000,1,,10,,100,,1000,,10000,
JST Sales America,XHP-5,3000,1,0.0204,10,0.0204,100,0.0204,1000,0.0144,10000,0.013
JST Sales America Inc.,XHP-5,3000,1,,10,,100,,1000,,10000,
JST Sales America Inc.,XHP-4,6820,1,0.0196,10,0.0196,100,0.0196,1000,0.0138,10000,0.0125
JST Sales America,XHP-3,110650,1,0.0178,10,0.0178,100,0.0178,1000,0.0134,10000,0.0117
JST Sales America Inc.,XHP-3,3000,1,,10,,100,,1000,,10000,
Seiko Instruments,XH414HG-IV01E,3000,1,,10,,100,,1000,,10000,
Littelfuse Inc.,XGD10402KR,7570,1,0.0647,10,0.0647,100,0.0503,1000,0.045,10000,0.0433
Omron Electronics Inc-EMC Div,XG4M-2030-U,3000,1,,10,,100,,1000,,10000,
Omron Electronics Inc-EMC Div,XG4C-1031,3000,1,,10,,100,,1000,,10000,
Omron Electronics Inc-EMC Div,XG4A-4031,3000,1,,10,,100,,1000,,10000,
Coilcraft,XFL4020-152MEB,3000,1,,10,,100,,1000,,10000,
Coilcraft,XFL4015-471MEC,3000,1,,10,,100,,1000,,10000,
Omron Electronics Inc-EMC Div,XF2M-5415-1AH,3000,1,,10,,100,,1000,,10000,
Xilinx Inc.,XCZU9EG-2FFVB1156I,3000,1,,10,,100,,1000,,10000,
Xilinx Inc.,XCZU9EG-2FFVB1156E,3000,1,,10,,100,,1000,,10000,
Xilinx Inc.,XCZU9EG-1FFVB1156I,3000,1,,10,,100,,1000,,10000,
Xilinx Inc.,XCZU7EV-2FBVB900E,3000,1,,10,,100,,1000,,10000,
Xilinx Inc.,XCZU6CG-2FFVB1156I,3000,1,,10,,100,,1000,,10000,
